institution,rh_records,active_share_pct,average_remuneration_brl,median_remuneration_brl,female_share_pct,avg_age
"SECRETARIA DE ESTADO DO TRABALHO, QUALIFICAÇÃO E RENDA",417,27.33812949640288,2546.3695203836933,0.0,39.80815347721823,44.18465227817746
PARANÁ CIDADE,391,48.33759590792839,9567.331355498722,0.0,38.61892583120204,47.60102301790281
SECRETARIA DE ESTADO DAS CIDADES,386,46.89119170984456,5718.012668393782,0.0,41.70984455958549,43.5440414507772
UNESPAR - CAMPUS DE  PARANAGUA,382,43.455497382198956,6403.6901832460735,0.0,58.90052356020943,44.17277486910995
PARANAPREVIDÊNCIA,379,63.3245382585752,8002.82635883905,7341.79,51.97889182058047,52.04221635883905
INSTITUTO PARANAENSE DE DESENVOLVIMENTO EDUCACIONAL,359,20.61281337047354,1420.4983008356546,0.0,65.45961002785515,48.26740947075209
UNESPAR - CAMPUS DE CURITIBA I,346,47.687861271676304,6267.852312138728,0.0,49.421965317919074,46.65895953757225
Secretaria do Meio Ambiente e Recursos Hídricos,339,0.0,0.0,0.0,43.067846607669615,50.575221238938056
SECRETARIA DE ESTADO DO PLANEJAMENTO,333,39.63963963963964,4443.374834834835,0.0,41.14114114114114,43.91891891891892
AGENCIA REGULADORA DE SERVIÇOS PÚBLICOS DELEGADOS DO PARANÁ,325,33.84615384615385,3767.247876923077,0.0,36.92307692307693,46.14769230769231
INSTITUTO PARANAENSE DE CIENCIA DO ESPORTE,323,0.0,0.0,0.0,28.482972136222912,48.086687306501545
CASA MILITAR,296,15.54054054054054,1239.8313513513515,0.0,32.0945945945946,46.57432432432432
PARANÁ ESPORTE,290,41.724137931034484,3686.7623103448277,0.0,30.689655172413794,50.765517241379314
SECRETARIA DE ESTADO DA MULHER IGUALDADE RACIAL E PESSOA IDOSA,287,31.70731707317073,2690.7937630662022,0.0,69.68641114982579,44.05226480836237
SECRETARIA DO DESENVOLVIMENTO URBANO,286,0.0,0.0,0.0,35.66433566433567,46.65384615384615
PARANÁ EDIFICAÇÕES,284,0.0,0.0,0.0,30.633802816901408,49.971830985915496
"SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR",284,38.38028169014084,3266.5210915492958,0.0,48.943661971830984,47.57394366197183
SECRETARIA DE ESTADO DA COMUNICAÇÃO SOCIAL E DA CULTURA,277,0.0,0.0,0.0,54.151624548736464,43.27436823104693
SECRETARIA DE ESTADO DO DESENVOLVIMENTO SUSTENTAVEL,274,37.22627737226277,4183.370510948906,0.0,40.51094890510949,43.99270072992701
INSTITUTO PARANAENSE DE DESENVOLVIMENTO ECÔNOMICO E SOCIAL,266,0.0,0.0,0.0,49.62406015037594,44.51127819548872
AGÊNCIA DE ASSUNTOS METROPOLITANOS DO PARANÁ,255,35.68627450980392,3228.5616862745096,0.0,40.0,37.23137254901961
"SECRETARIA DE ESTADO DA INDÚSTRIA, COMÉRCIO E SERVIÇOS",225,26.666666666666668,2313.9984,0.0,39.111111111111114,46.46222222222222
INSTITUTO DE PESOS E MEDIDAS DO ESTADO DO PARANÁ,225,23.11111111111111,3618.9016444444446,0.0,19.555555555555557,62.49333333333333
INSTITUTO PARANAENSE DE DESENVOLVIMENTO ECONÔMICO E SOCIAL,221,30.76923076923077,3265.226515837104,0.0,46.60633484162896,49.990950226244344
RÁDIO E TELEVISÃO EDUCATIVA DO PARANÁ,218,0.0,0.0,0.0,44.95412844036697,47.169724770642205
MINISTÉRIO PUBLICO,206,0.0,15142.373932038834,8655.455,74.75728155339806,64.16666666666667
FAC. EST. CIÊNCIAS LET. CAMPO MOURÃO,198,0.0,0.0,0.0,61.111111111111114,39.83838383838384
SECRETARIA DA CIENCIA TECNOLOGIA E ENSINO SUPERIOR,187,0.0,0.0,0.0,50.26737967914438,52.31550802139037
ESTRADA DE FERRO PARANA OESTE S/A,185,69.72972972972973,3623.602,3354.38,12.972972972972974,50.96153846153846
SECRETARIA DE ESTADO DO PLANEJAMENTO E PROJETOS ESTRUTURANTES,185,0.5405405405405406,186.76697297297298,0.0,35.13513513513514,43.84864864864865
FAC. EST. CIÊNCIAS ECON. DE APUCARANA,178,0.0,0.0,0.0,56.17977528089888,38.6123595505618
SECRETARIA DE GOVERNO,177,0.0,0.0,0.0,45.76271186440678,49.16949152542373
FAC. EST. ED. CIÊNCIAS LET. PARANAVAÍ,176,0.0,0.0,0.0,56.81818181818182,42.0625
"INSTITUTO DE TERRAS, CARTOGRAFIA E GEOLOGIA DO PARANÁ",167,0.0,0.0,0.0,36.52694610778443,50.91017964071856
INSTITUTO PARANAENSE DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL,152,0.0,0.0,0.0,42.10526315789473,45.41447368421053
FAC. EST. FIL. C. LET. UNIÃO DA VITÓRIA,147,0.0,0.0,0.0,56.4625850340136,39.83673469387755
PALCOPARANÁ,141,60.28368794326241,4638.8429787234045,6651.48,38.297872340425535,36.52857142857143
CENTRAIS DE ABASTECIMENTO DO PARANA S/A,134,58.95522388059702,8214.403432835821,3354.38,24.62686567164179,53.40298507462686
COORDENAÇÃO DA REGIÃO METROPOLITANA DE CURITIBA,131,0.0,0.0,0.0,32.82442748091603,50.2442748091603
E-PARANÁ COMUNICAÇÃO,129,40.310077519379846,3987.0093023255813,0.0,39.53488372093023,41.375
PARANÁ TURISMO,127,0.0,0.0,0.0,51.96850393700787,50.24409448818898
SECRETARIA DE ESTADO DO DESENVOLVIMENTO SUSTENTAVEL E TURISMO,125,0.0,0.0,0.0,50.4,45.944
COMPANHIA DE DESENVOLVIMENTO AGROPECUARIO PARANA,123,0.0,0.0,0.0,9.75609756097561,49.390243902439025
FAC. EST. FIL. CIÊNCIAS LET. PARANAGUA,111,0.0,0.0,0.0,51.35135135135135,46.08108108108108
"SECRETARIA DA INOVAÇÃO, MODERNIZAÇÃO E TRANSFORMAÇÃO DIGITAL",110,0.0,0.0,0.0,38.18181818181819,41.3
FACULDADE DE ARTES DO PARANÁ,97,0.0,0.0,0.0,57.73195876288659,45.93814432989691
LOTERIA DO ESTADO DO PARANA,97,31.958762886597935,3128.1039175257733,0.0,40.20618556701031,40.175257731958766
SECRETARIA DE ESTADO DA INOVAÇÃO E INTELIGÊNCIA ARTIFICIAL,91,75.82417582417582,7934.587912087912,7860.12,45.05494505494506,41.72527472527472
DEPARTAMENTO DE IMPRENSA OFICIAL DO ESTADO PARANÁ,85,0.0,0.0,0.0,34.11764705882353,51.16470588235294
ESCOLA DE MÚSICAS BELAS ARTES DO PARANÁ,85,0.0,0.0,0.0,56.470588235294116,51.423529411764704
INVEST PARANÁ,79,44.303797468354425,6902.061772151898,0.0,54.43037974683544,40.037974683544306
AG REGULADORA DE SV PUB DELEGADOS INFRA ESTRUTURA DO PR,76,0.0,0.0,0.0,31.57894736842105,52.11842105263158
BIBLIOTECA PÚBLICA DO PARANÁ,73,0.0,0.0,0.0,72.6027397260274,59.87671232876713
PARANÁ PROJETOS,71,16.901408450704224,3755.8047887323946,0.0,42.25352112676056,42.49295774647887
SECRETARIA DE ESTADO DO DESENVOLVIMENTO URBANO OBRAS PÚBLICAS,62,0.0,0.0,0.0,46.774193548387096,46.483870967741936
COORDENADORIA ESTADUAL DA DEFESA CIVIL,44,86.36363636363636,6332.528863636364,7082.855,52.27272727272727,43.65909090909091
DEPARTAMENTO ESTADUAL DE ARQUIVO PÚBLICO,42,0.0,0.0,0.0,54.761904761904766,50.857142857142854
"SECRETARIA DA INDÚSTRIA, DO COM. E ASS. DO MERCOSUL",37,0.0,0.0,0.0,37.83783783783784,53.32432432432432
FAC. EST. FIL. C. LET. DE JACAREZINHO,25,0.0,0.0,0.0,60.0,40.52
DEPARTAMENTO DE IMPRENSA OFICIAL DO ESTADO DO PARANÁ,22,0.0,0.0,0.0,50.0,42.86363636363637
Centro Paranaense de Referência em Agroecologia,16,0.0,0.0,0.0,18.75,58.3125
FAC. EST. FIL. C. LET. CORNÉLIO PROCÓPIO,15,0.0,0.0,0.0,66.66666666666666,48.266666666666666
Agência Reguladora de Serviços Públicos de Infra-Estrutura do Paraná,13,0.0,0.0,0.0,0.0,61.38461538461539
INSTITUTO DE FLORESTAS DO PARANÁ,5,0.0,0.0,0.0,20.0,62.4
FAC. EST. DIREITO DO NORTE PIONEIRO,4,0.0,0.0,0.0,50.0,39.5
FAC. EST. EDUCAÇÃO FÍS. DE JACAREZINHO,3,0.0,0.0,0.0,0.0,56.0
INSTITUTO ÁGUA E TERRA,2,100.0,0.0,0.0,0.0,46.0
