city_original,city_key,city_official,city_match_status,records
Iretama,IRETAMA,Iretama,matched,846
Santa Mariana,SANTA MARIANA,Santa Mariana,matched,838
Engenheiro Beltrão,ENGENHEIRO BELTRAO,Engenheiro Beltrão,matched,832
Morretes,MORRETES,Morretes,matched,824
Rebouças,REBOUCAS,Rebouças,matched,821
São João do Ivaí,SAO JOAO DO IVAI,São João do Ivaí,matched,821
Ribeirão Claro,RIBEIRAO CLARO,Ribeirão Claro,matched,820
Contenda,CONTENDA,Contenda,matched,816
Rio Azul,RIO AZUL,Rio Azul,matched,815
Alto Piquiri,ALTO PIQUIRI,Alto Piquiri,matched,814
Curiúva,CURIUVA,Curiúva,matched,809
Sertanópolis,SERTANOPOLIS,Sertanópolis,matched,799
Roncador,RONCADOR,Roncador,matched,798
Quitandinha,QUITANDINHA,Quitandinha,matched,796
Santa Tereza do Oeste,SANTA TEREZA DO OESTE,Santa Tereza do Oeste,matched,790
Salto do Lontra,SALTO DO LONTRA,Salto do Lontra,matched,773
Terra Rica,TERRA RICA,Terra Rica,matched,771
Barracão,BARRACAO,Barracão,matched,768
Nova Londrina,NOVA LONDRINA,Nova Londrina,matched,768
Mamborê,MAMBORE,Mamborê,matched,759
Coronel Domingos Soares,CORONEL DOMINGOS SOARES,Coronel Domingos Soares,matched,757
Boa Vista da Aparecida,BOA VISTA DA APARECIDA,Boa Vista da Aparecida,matched,751
Barbosa Ferraz,BARBOSA FERRAZ,Barbosa Ferraz,matched,750
Imbaú,IMBAU,Imbaú,matched,746
Missal,MISSAL,Missal,matched,733
São Jorge d'Oeste,SAO JORGE D'OESTE,São Jorge d'Oeste,matched,733
Nova Aurora,NOVA AURORA,Nova Aurora,matched,732
Tapejara,TAPEJARA,Tapejara,matched,730
Jaguapitã,JAGUAPITA,Jaguapitã,matched,728
Bela Vista do Paraíso,BELA VISTA DO PARAISO,Bela Vista do Paraíso,matched,717
Rosário do Ivaí,ROSARIO DO IVAI,Rosário do Ivaí,matched,713
Catanduvas,CATANDUVAS,Catanduvas,matched,702
Peabiru,PEABIRU,Peabiru,matched,701
Carlópolis,CARLOPOLIS,Carlópolis,matched,696
Marmeleiro,MARMELEIRO,Marmeleiro,matched,695
Joaquim Távora,JOAQUIM TAVORA,Joaquim Távora,matched,694
Vera Cruz do Oeste,VERA CRUZ DO OESTE,Vera Cruz do Oeste,matched,681
Diamante do Norte,DIAMANTE DO NORTE,Diamante do Norte,matched,680
Araruna,ARARUNA,Araruna,matched,673
Santa Isabel do Ivaí,SANTA ISABEL DO IVAI,Santa Isabel do Ivaí,matched,670
Mallet,MALLET,Mallet,matched,665
Cerro Azul,CERRO AZUL,Cerro Azul,matched,662
Ribeirão do Pinhal,RIBEIRAO DO PINHAL,Ribeirão do Pinhal,matched,658
Teixeira Soares,TEIXEIRA SOARES,Teixeira Soares,matched,657
Espigão Alto do Iguaçu,ESPIGAO ALTO DO IGUACU,Espigão Alto do Iguaçu,matched,653
Pérola,PEROLA,Pérola,matched,652
Ivaté,IVATE,Ivaté,matched,646
Céu Azul,CEU AZUL,Céu Azul,matched,645
Tomazina,TOMAZINA,Tomazina,matched,645
Jataizinho,JATAIZINHO,Jataizinho,matched,634
Santa Cruz de Monte Castelo,SANTA CRUZ DE MONTE CASTELO,Santa Cruz de Monte Castelo,matched,633
Tijucas do Sul,TIJUCAS DO SUL,Tijucas do Sul,matched,633
Douradina,DOURADINA,Douradina,matched,630
Terra Boa,TERRA BOA,Terra Boa,matched,630
Fernandes Pinheiro,FERNANDES PINHEIRO,Fernandes Pinheiro,matched,628
Tuneiras do Oeste,TUNEIRAS DO OESTE,Tuneiras do Oeste,matched,623
Marilândia do Sul,MARILANDIA DO SUL,Marilândia do Sul,matched,617
Nova Cantu,NOVA CANTU,Nova Cantu,matched,616
Boa Ventura de São Roque,BOA VENTURA DE SAO ROQUE,Boa Ventura de São Roque,matched,608
Paranacity,PARANACITY,Paranacity,matched,606
Nova Tebas,NOVA TEBAS,Nova Tebas,matched,605
Congonhinhas,CONGONHINHAS,Congonhinhas,matched,595
São João,SAO JOAO,São João,matched,594
Itapejara d'Oeste,ITAPEJARA D'OESTE,Itapejara d'Oeste,matched,593
Laranjal,LARANJAL,Laranjal,matched,592
Balsa Nova,BALSA NOVA,Balsa Nova,matched,589
Lindoeste,LINDOESTE,Lindoeste,matched,589
São Pedro do Ivaí,SAO PEDRO DO IVAI,São Pedro do Ivaí,matched,588
Alto Paraná,ALTO PARANA,Alto Paraná,matched,587
Ventania,VENTANIA,Ventania,matched,583
Icaraíma,ICARAIMA,Icaraíma,matched,582
Reserva do Iguaçu,RESERVA DO IGUACU,Reserva do Iguaçu,matched,579
Diamante D'Oeste,DIAMANTE D'OESTE,Diamante D'Oeste,matched,577
Grandes Rios,GRANDES RIOS,Grandes Rios,matched,573
Goioxim,GOIOXIM,Goioxim,matched,569
Sapopema,SAPOPEMA,Sapopema,matched,568
Uraí,URAI,Uraí,matched,566
Mauá da Serra,MAUA DA SERRA,Mauá da Serra,matched,559
Piên,PIEN,Piên,matched,556
Adrianópolis,ADRIANOPOLIS,Adrianópolis,matched,555
Bocaiúva do Sul,BOCAIUVA DO SUL,Bocaiúva do Sul,matched,552
Moreira Sales,MOREIRA SALES,Moreira Sales,matched,549
Tupãssi,TUPASSI,Tupãssi,matched,542
São Sebastião da Amoreira,SAO SEBASTIAO DA AMOREIRA,São Sebastião da Amoreira,matched,534
Antônio Olinto,ANTONIO OLINTO,Antônio Olinto,matched,526
Figueira,FIGUEIRA,Figueira,matched,523
Juranda,JURANDA,Juranda,matched,520
Pranchita,PRANCHITA,Pranchita,matched,518
Nova Prata do Iguaçu,NOVA PRATA DO IGUACU,Nova Prata do Iguaçu,matched,516
Pérola d'Oeste,PEROLA D'OESTE,Pérola d'Oeste,matched,511
Verê,VERE,Verê,matched,509
Sabáudia,SABAUDIA,Sabáudia,matched,503
Abatiá,ABATIA,Abatiá,matched,496
Tunas do Paraná,TUNAS DO PARANA,Tunas do Paraná,matched,488
Enéas Marques,ENEAS MARQUES,Enéas Marques,matched,478
Braganey,BRAGANEY,Braganey,matched,477
Cidade Gaúcha,CIDADE GAUCHA,Cidade Gaúcha,matched,477
Centenário do Sul,CENTENARIO DO SUL,Centenário do Sul,matched,469
Bom Jesus do Sul,BOM JESUS DO SUL,Bom Jesus do Sul,matched,467
Primeiro de Maio,PRIMEIRO DE MAIO,Primeiro de Maio,matched,467
Guamiranga,GUAMIRANGA,Guamiranga,matched,465
Pinhalão,PINHALAO,Pinhalão,matched,459
Rio Branco do Ivaí,RIO BRANCO DO IVAI,Rio Branco do Ivaí,matched,457
Formosa do Oeste,FORMOSA DO OESTE,Formosa do Oeste,matched,455
São José da Boa Vista,SAO JOSE DA BOA VISTA,São José da Boa Vista,matched,454
Itaipulândia,ITAIPULANDIA,Itaipulândia,matched,447
Doutor Ulysses,DOUTOR ULYSSES,Doutor Ulysses,matched,445
Francisco Alves,FRANCISCO ALVES,Francisco Alves,matched,442
Floresta,FLORESTA,Floresta,matched,437
Cambira,CAMBIRA,Cambira,matched,433
Lidianópolis,LIDIANOPOLIS,Lidianópolis,matched,432
Florestópolis,FLORESTOPOLIS,Florestópolis,matched,430
Japurá,JAPURA,Japurá,matched,428
Santana do Itararé,SANTANA DO ITARARE,Santana do Itararé,matched,424
Sertaneja,SERTANEJA,Sertaneja,matched,424
Saudade do Iguaçu,SAUDADE DO IGUACU,Saudade do Iguaçu,matched,423
Jesuítas,JESUITAS,Jesuítas,matched,422
Xambrê,XAMBRE,Xambrê,matched,422
Flor da Serra do Sul,FLOR DA SERRA DO SUL,Flor da Serra do Sul,matched,420
São Tomé,SAO TOME,São Tomé,matched,420
Paraíso do Norte,PARAISO DO NORTE,Paraíso do Norte,matched,417
Rondon,RONDON,Rondon,matched,417
Foz do Jordão,FOZ DO JORDAO,Foz do Jordão,matched,414
Santa Fé,SANTA FE,Santa Fé,matched,413
