city_official,rh_records,active_records,average_remuneration_brl,median_remuneration_brl,p90_remuneration_brl,female_share_pct,avg_age,inactive_records,active_share_pct,city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key,rh_records_per_1k_est_pop
Balsa Nova,589,106,1037.1903225806452,0.0,5100.65,65.70458404074702,39.41765704584041,483,17.996604414261462,Balsa Nova,paranaense,13395,13867,38.39,4817,2.6,6.54,97201.65,99.25,0.0,BALSA NOVA,42.47494050623783
São Pedro do Ivaí,588,110,1303.0755612244898,0.0,6203.56300000001,86.73469387755102,43.756802721088434,478,18.70748299319728,São Pedro do Ivaí,paranaense,8690,8514,26.93,2338,2.1,,52135.59,99.39,197.4,SAO PEDRO DO IVAI,69.06272022551093
Alto Paraná,587,117,1400.0838330494037,0.0,6786.864,80.06814310051107,41.6320272572402,470,19.931856899488924,Alto Paraná,paranaense,13909,14183,34.11,3025,2.0,24.84,40453.42,99.69,0.0,ALTO PARANA,41.387576676302615
Ventania,583,86,873.2006689536878,0.0,4764.964000000003,77.70154373927959,37.32590051457976,497,14.751286449399656,Ventania,paranaense,9681,9760,11.82,2458,2.0,23.81,39126.52,98.75,0.0,VENTANIA,59.73360655737705
Icaraíma,582,84,968.2855670103093,0.0,4023.479999999995,74.74226804123711,42.786941580756015,498,14.432989690721648,Icaraíma,paranaense,8991,9149,13.32,1507,2.2,26.55,36603.92,100.0,0.0,ICARAIMA,63.613509673188325
Reserva do Iguaçu,579,62,784.2028670120899,0.0,3393.3920000000144,79.96545768566494,38.76165803108808,517,10.708117443868739,Reserva do Iguaçu,paranaense,6553,6493,7.86,1117,2.1,10.53,39346.76,98.09,0.0,RESERVA DO IGUACU,89.17295549052825
Diamante D'Oeste,577,78,811.023136915078,0.0,4025.381999999991,64.64471403812824,39.27556325823224,499,13.518197573656845,Diamante D'Oeste,paranaense,4557,4513,14.74,623,2.3,43.48,29513.42,98.0,0.0,DIAMANTE D'OESTE,127.85286948814536
Grandes Rios,573,111,1460.5706806282722,0.0,6766.440000000005,82.19895287958116,41.017452006980804,462,19.3717277486911,Grandes Rios,paranaense,5641,5527,17.95,906,1.9,14.71,31475.87,97.03,0.0,GRANDES RIOS,103.67287859598336
Goioxim,569,52,681.8406854130052,0.0,0.0,77.68014059753953,35.667838312829524,517,9.13884007029877,Goioxim,paranaense,6566,6469,9.35,877,2.2,31.58,47001.54,98.74,0.0,GOIOXIM,87.95795331581388
Sapopema,568,82,986.9036091549295,0.0,4988.8600000000015,73.59154929577466,38.8362676056338,486,14.43661971830986,Sapopema,paranaense,6695,6778,9.88,1568,2.0,9.9,27337.32,98.32,0.0,SAPOPEMA,83.80053113012688
Uraí,566,120,1606.9376678445228,0.0,8041.49,82.15547703180212,43.28445229681979,446,21.20141342756184,Uraí,paranaense,10406,10308,43.76,1865,2.0,,37963.93,99.28,76.9,URAI,54.908808692277844
Mauá da Serra,559,57,558.8221645796065,0.0,0.0,72.09302325581395,39.493738819320214,502,10.196779964221825,Mauá da Serra,paranaense,9383,9689,86.62,3157,1.8,7.58,56188.01,99.24,0.0,MAUA DA SERRA,57.69429249664569
Piên,556,126,1468.2746223021581,0.0,6271.24,72.3021582733813,40.5863309352518,430,22.66187050359712,Piên,paranaense,13655,14409,53.59,3624,2.8,10.0,62484.45,98.6,63.5,PIEN,38.586994239711295
Adrianópolis,555,88,1003.1218558558559,0.0,5170.406000000001,73.87387387387388,40.65405405405406,467,15.855855855855856,Adrianópolis,paranaense,6256,6319,4.64,1465,2.6,,74669.0,99.64,0.0,ADRIANOPOLIS,87.8303529039405
Bocaiúva do Sul,552,76,928.9863768115941,0.0,4773.04,75.36231884057972,40.14492753623188,476,13.768115942028986,Bocaiúva do Sul,paranaense,13299,13405,16.11,3828,2.3,5.81,22971.54,98.99,7.2,BOCAIUVA DO SUL,41.178664677359194
Moreira Sales,549,111,1452.6285063752277,0.0,6863.135999999999,81.4207650273224,43.13661202185792,438,20.21857923497268,Moreira Sales,paranaense,11175,9949,31.59,1807,2.2,15.15,34192.25,100.0,0.0,MOREIRA SALES,55.181425268871244
Tupãssi,542,100,1280.619077490775,0.0,6467.365000000002,87.26937269372694,41.003690036900366,442,18.45018450184502,Tupãssi,paranaense,8077,8208,26.94,1573,2.5,27.03,64432.01,98.87,0.0,TUPASSI,66.03313840155946
São Sebastião da Amoreira,534,100,1456.5995692883896,0.0,7159.702,85.76779026217228,42.252808988764045,434,18.726591760299627,São Sebastião da Amoreira,paranaense,8063,8063,35.54,1571,1.7,11.36,34424.99,100.0,0.0,SAO SEBASTIAO DA AMOREIRA,66.22845094877837
Antônio Olinto,526,65,883.9109505703422,0.0,4241.455,83.26996197718631,36.72813688212928,461,12.357414448669202,Antônio Olinto,paranaense,7018,7048,14.94,830,2.2,14.49,40269.4,99.59,0.0,ANTONIO OLINTO,74.63110102156641
Figueira,523,105,1387.2471128107074,0.0,6311.952,87.18929254302104,39.30592734225621,418,20.076481835564053,Figueira,paranaense,8062,8129,62.13,1901,2.0,,23775.93,99.63,36.8,FIGUEIRA,64.33755689506704
Juranda,520,87,1168.1241923076923,0.0,5776.043,85.1923076923077,40.37307692307692,433,16.73076923076923,Juranda,paranaense,7771,7899,21.93,1498,1.9,22.22,63966.87,99.56,0.0,JURANDA,65.83111786302064
Pranchita,518,54,730.097915057915,0.0,20.26200000000077,82.04633204633205,39.22007722007722,464,10.424710424710424,Pranchita,paranaense,5737,5831,25.37,1843,2.1,,66007.87,99.54,222.9,PRANCHITA,88.83553421368548
Nova Prata do Iguaçu,516,108,1731.6870930232558,0.0,6849.424999999999,80.42635658914729,40.16860465116279,408,20.930232558139537,Nova Prata do Iguaçu,paranaense,12699,13340,36.02,2512,2.1,,44107.75,99.79,0.0,NOVA PRATA DO IGUACU,38.680659670164914
Pérola d'Oeste,511,78,1028.225107632094,0.0,5100.65,85.12720156555773,39.596868884540115,433,15.264187866927593,Pérola d'Oeste,paranaense,6221,6218,30.31,1500,2.1,,43479.73,100.0,0.0,PEROLA D'OESTE,82.18076551945963
Verê,509,81,1277.1951473477407,0.0,6059.5399999999945,81.53241650294696,38.37524557956778,428,15.913555992141454,Verê,paranaense,7932,8077,25.44,2189,2.1,20.2,76503.8,99.62,49.7,VERE,63.01844744335769
Sabáudia,503,94,1321.2055268389663,0.0,6658.19,79.72166998011929,41.46918489065607,409,18.687872763419485,Sabáudia,paranaense,8822,9511,46.35,5260,2.0,42.37,84033.62,99.78,0.0,SABAUDIA,52.88613184733467
Abatiá,496,80,1181.331995967742,0.0,5291.255,85.28225806451613,41.28629032258065,416,16.129032258064516,Abatiá,paranaense,7241,7233,31.66,893,2.2,,41039.39,94.88,0.0,ABATIA,68.57458869072308
Tunas do Paraná,488,51,740.8987909836065,0.0,585.7530000000222,82.17213114754098,37.471311475409834,437,10.450819672131148,Tunas do Paraná,paranaense,6219,6304,9.3,1866,1.9,17.09,22908.32,100.0,0.0,TUNAS DO PARANA,77.41116751269035
Enéas Marques,478,69,944.1351882845188,0.0,4827.19,83.47280334728033,40.20502092050209,409,14.435146443514643,Enéas Marques,paranaense,5999,6146,31.21,1553,2.4,,64920.82,100.0,0.0,ENEAS MARQUES,77.77416205662219
Braganey,477,65,1140.5225576519917,0.0,5746.130000000006,77.56813417190776,39.34591194968554,412,13.626834381551362,Braganey,paranaense,4854,4745,14.14,898,2.2,,53771.59,100.0,0.0,BRAGANEY,100.52687038988408
Cidade Gaúcha,477,104,1814.0694758909854,0.0,7735.034000000001,82.18029350104821,44.24737945492662,373,21.80293501048218,Cidade Gaúcha,paranaense,11467,11705,28.45,4356,2.4,14.71,54113.89,98.71,847.3,CIDADE GAUCHA,40.75181546347715
Centenário do Sul,469,100,1500.9720042643924,0.0,6658.19,87.63326226012794,44.49680170575693,369,21.321961620469082,Centenário do Sul,paranaense,10832,10903,29.13,1691,2.1,,34760.43,98.99,18.3,CENTENARIO DO SUL,43.01568375676419
Bom Jesus do Sul,467,51,882.993147751606,0.0,2536.766000000026,84.36830835117773,39.319057815845824,416,10.920770877944326,Bom Jesus do Sul,paranaense,3980,4072,22.6,841,1.9,,35783.31,100.0,0.0,BOM JESUS DO SUL,114.68565815324165
Primeiro de Maio,467,90,1413.3239400428265,0.0,6545.370000000002,84.36830835117773,43.775160599571734,377,19.271948608137045,Primeiro de Maio,paranaense,10082,10064,24.33,2023,2.3,9.52,45871.5,98.97,9.9,PRIMEIRO DE MAIO,46.40302066772655
Guamiranga,465,88,1141.9868817204301,0.0,5294.058,79.13978494623656,37.20215053763441,377,18.9247311827957,Guamiranga,paranaense,7856,7916,32.09,1254,1.9,,45451.12,100.0,0.0,GUAMIRANGA,58.74178878221324
Pinhalão,459,83,1242.7977777777778,0.0,6009.588,81.26361655773421,40.78649237472767,376,18.082788671023962,Pinhalão,paranaense,6566,6676,29.76,1116,1.7,,38365.93,100.0,0.0,PINHALAO,68.75374475733972
Rio Branco do Ivaí,457,65,950.694989059081,0.0,4950.548000000007,79.43107221006565,38.85776805251641,392,14.22319474835886,Rio Branco do Ivaí,paranaense,3808,3841,10.12,619,2.0,,45876.97,99.45,0.0,RIO BRANCO DO IVAI,118.9794324394689
Formosa do Oeste,455,87,1251.0921978021977,0.0,5870.672000000007,75.82417582417582,44.66153846153846,368,19.12087912087912,Formosa do Oeste,paranaense,7635,7763,27.67,1559,2.2,13.51,53117.03,100.0,709.1,FORMOSA DO OESTE,58.611361587015324
São José da Boa Vista,454,49,718.6518061674009,0.0,3139.1429999999896,81.05726872246696,38.93171806167401,405,10.79295154185022,São José da Boa Vista,paranaense,6040,6023,15.11,995,1.8,24.39,38516.72,98.24,16.5,SAO JOSE DA BOA VISTA,75.37771874481156
Itaipulândia,447,106,1635.4785458612976,0.0,7172.2840000000015,76.95749440715883,41.970917225950785,341,23.713646532438478,Itaipulândia,paranaense,11485,12116,34.71,4217,2.2,6.94,49349.2,100.0,0.0,ITAIPULANDIA,36.893364146583025
Doutor Ulysses,445,47,689.1752359550561,0.0,3329.1,71.68539325842697,36.26966292134831,398,10.561797752808989,Doutor Ulysses,paranaense,5697,5744,7.33,573,1.9,,20387.45,97.34,0.0,DOUTOR ULYSSES,77.47214484679665
Francisco Alves,442,68,1074.2064705882353,0.0,5474.486000000006,83.93665158371041,43.15158371040724,374,15.384615384615385,Francisco Alves,paranaense,8116,8573,25.21,1117,1.8,8.4,31307.33,99.34,0.0,FRANCISCO ALVES,51.55721451067304
Floresta,437,87,1331.6607551487414,0.0,6200.084000000002,81.00686498855835,44.67734553775744,350,19.908466819221967,Floresta,paranaense,10458,11522,66.1,1782,2.0,12.58,34828.85,99.6,26.7,FLORESTA,37.927443152230516
Cambira,433,87,1396.5848267898382,0.0,6550.62,75.98152424942263,43.11778290993072,346,20.092378752886837,Cambira,paranaense,9460,10045,57.41,2558,2.2,14.71,36931.02,99.51,0.0,CAMBIRA,43.106022896963665
Lidianópolis,432,77,1217.681712962963,0.0,6649.511000000002,78.93518518518519,39.31481481481482,355,17.824074074074073,Lidianópolis,paranaense,3938,3987,26.0,664,2.2,,37287.16,97.06,0.0,LIDIANOPOLIS,108.35214446952595
Florestópolis,430,88,1574.3973023255812,0.0,6900.377,86.04651162790698,45.234883720930235,342,20.46511627906977,Florestópolis,paranaense,11446,11653,46.37,3464,2.2,15.63,54502.22,97.18,25.8,FLORESTOPOLIS,36.90036900369004
Japurá,428,74,1322.1340420560748,0.0,6603.576000000001,83.64485981308411,44.0,354,17.289719626168225,Japurá,paranaense,9144,9393,55.36,2965,2.2,18.35,48327.59,100.0,416.9,JAPURA,45.56584690727137
Sertaneja,424,80,1462.8967688679245,0.0,6540.900999999999,79.48113207547169,45.50471698113208,344,18.867924528301888,Sertaneja,paranaense,5616,5654,12.63,1206,2.6,34.48,82925.93,100.0,0.0,SERTANEJA,74.99115670321896
Santana do Itararé,424,53,818.6889386792452,0.0,3466.6539999999995,83.25471698113208,40.820754716981135,371,12.5,Santana do Itararé,paranaense,5514,5646,21.94,880,1.8,,33377.18,99.06,0.0,SANTANA DO ITARARE,75.0974140984768
Saudade do Iguaçu,423,52,820.3599763593381,0.0,4283.610000000001,85.34278959810875,36.60283687943262,371,12.293144208037825,Saudade do Iguaçu,paranaense,6108,6413,40.16,1407,2.8,40.54,187201.61,98.52,0.0,SAUDADE DO IGUACU,65.95976921877435
Xambrê,422,76,1208.0204976303316,0.0,6658.19,69.90521327014217,44.19668246445497,346,18.009478672985782,Xambrê,paranaense,5798,5835,16.12,972,1.8,,23887.13,99.67,0.0,XAMBRE,72.32219365895457
Jesuítas,422,94,1679.5807819905212,0.0,7776.344000000002,83.88625592417061,44.40047393364929,328,22.274881516587676,Jesuítas,paranaense,10506,10954,42.45,1895,2.1,,52977.91,100.0,9.2,JESUITAS,38.52473982106993
Flor da Serra do Sul,420,47,724.8407380952381,0.0,2033.8340000000153,80.47619047619048,39.0452380952381,373,11.190476190476192,Flor da Serra do Sul,paranaense,4364,4342,17.07,1028,1.9,,47286.15,97.27,0.0,FLOR DA SERRA DO SUL,96.72961768770152
São Tomé,420,64,1125.0172619047619,0.0,5523.033000000001,82.38095238095238,42.99523809523809,356,15.238095238095239,São Tomé,paranaense,5232,5282,23.93,1090,2.2,,42277.13,99.68,0.0,SAO TOME,79.51533510034078
Rondon,417,74,1345.8809832134293,0.0,6702.188000000013,81.29496402877699,41.25419664268585,343,17.74580335731415,Rondon,paranaense,9097,9255,16.39,4090,2.1,,59221.26,99.6,1471.9,RONDON,45.05672609400324
Paraíso do Norte,417,84,1668.4940287769784,0.0,7952.162000000002,83.93285371702638,44.721822541966425,333,20.14388489208633,Paraíso do Norte,paranaense,13245,13728,64.75,5823,2.2,23.26,40273.86,100.0,0.0,PARAISO DO NORTE,30.375874125874123
Foz do Jordão,414,45,808.4252898550725,0.0,3381.8869999999993,73.91304347826086,37.93478260869565,369,10.869565217391305,Foz do Jordão,paranaense,4926,4893,20.93,958,1.7,,38120.67,97.49,0.0,FOZ DO JORDAO,84.61066830165542
Santa Fé,413,81,1885.5659564164648,0.0,7239.332,85.4721549636804,45.31719128329298,332,19.612590799031477,Santa Fé,paranaense,11378,11730,41.19,3502,1.8,7.19,39541.74,99.59,0.0,SANTA FE,35.20886615515772
