city_official,rh_records,active_records,average_remuneration_brl,median_remuneration_brl,p90_remuneration_brl,female_share_pct,avg_age,inactive_records,active_share_pct,city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key,rh_records_per_1k_est_pop
Nova Esperança do Sudoeste,411,80,1233.2215571776155,0.0,6658.19,77.61557177615572,37.8978102189781,331,19.464720194647203,Nova Esperança do Sudoeste,paranaense,5597,5783,26.85,1401,2.1,10.75,35513.61,97.79,87.0,NOVA ESPERANCA DO SUDOESTE,71.07037869617845
Guaraci,405,54,907.6880987654321,0.0,4722.888000000004,77.28395061728395,42.980246913580245,351,13.333333333333334,Guaraci,paranaense,4748,4743,22.43,914,2.2,20.0,40499.33,96.09,0.0,GUARACI,85.38899430740038
Janiópolis,404,74,1363.2382425742574,0.0,6115.839999999998,88.36633663366337,42.396039603960396,330,18.316831683168317,Janiópolis,paranaense,5870,5807,17.49,880,2.0,16.13,57397.87,99.62,0.0,JANIOPOLIS,69.57120716376787
Tapira,400,60,1075.8245,0.0,5131.103000000003,74.75,43.0175,340,15.0,Tapira,paranaense,5745,5807,13.23,1080,2.1,18.18,32674.36,97.03,0.0,TAPIRA,68.88238333046323
Diamante do Sul,396,44,658.4643686868687,0.0,1858.845,67.42424242424242,37.542929292929294,352,11.11111111111111,Diamante do Sul,paranaense,3171,3147,9.13,443,1.8,,27043.14,100.0,0.0,DIAMANTE DO SUL,125.83412774070543
Borrazópolis,395,104,1687.857493670886,0.0,7183.160000000004,90.88607594936708,45.60506329113924,291,26.329113924050635,Borrazópolis,paranaense,7735,7818,23.13,1434,1.9,13.7,38327.77,100.0,0.0,BORRAZOPOLIS,50.524430800716296
Agudos do Sul,394,78,1282.694035532995,0.0,5683.823999999999,78.1725888324873,38.763959390862944,316,19.796954314720814,Agudos do Sul,paranaense,10233,10770,53.22,1511,1.9,29.85,27302.69,98.51,0.0,AGUDOS DO SUL,36.583101207056636
Maria Helena,394,52,956.3874111675127,0.0,4782.374,83.75634517766497,42.388324873096444,342,13.19796954314721,Maria Helena,paranaense,5865,5926,12.06,886,1.9,,30077.96,99.44,0.0,MARIA HELENA,66.48666891663854
Itambé,393,69,1320.2424936386767,0.0,5909.182000000001,83.96946564885496,42.24681933842239,324,17.557251908396946,Itambé,paranaense,6111,6228,25.06,1117,2.2,,45168.14,98.9,0.0,ITAMBE,63.102119460500965
Alvorada do Sul,393,101,2029.7784732824425,0.0,8041.49,87.02290076335878,48.36132315521628,292,25.699745547073793,Alvorada do Sul,paranaense,10326,10481,24.34,2096,2.1,10.53,42266.4,99.3,0.0,ALVORADA DO SUL,37.49642209712813
Santa Amélia,391,65,1116.4376726342712,0.0,5326.56,82.09718670076727,39.670076726342714,326,16.624040920716112,Santa Amélia,paranaense,3394,3358,43.49,484,2.2,,41703.65,99.06,0.0,SANTA AMELIA,116.43835616438355
São João do Caiuá,389,55,1208.5943958868893,0.0,5916.565999999997,84.31876606683805,43.768637532133674,334,14.138817480719796,São João do Caiuá,paranaense,5586,5607,18.35,849,2.3,,34310.0,98.9,35.6,SAO JOAO DO CAIUA,69.37756375958622
Califórnia,389,90,1557.8661182519281,0.0,6658.19,82.26221079691517,44.08226221079691,299,23.13624678663239,Califórnia,paranaense,8710,8963,61.42,2272,1.6,,28817.34,99.58,0.0,CALIFORNIA,43.40064710476403
São Jorge do Patrocínio,388,38,652.3524226804124,0.0,246.25900000000678,77.0618556701031,40.7319587628866,350,9.793814432989691,São Jorge do Patrocínio,paranaense,6504,6690,16.0,1344,2.1,14.08,28172.13,98.46,15.0,SAO JORGE DO PATROCINIO,57.997010463378174
Mato Rico,386,45,773.9982901554405,0.0,4314.285,73.31606217616581,37.57253886010363,341,11.658031088082902,Mato Rico,paranaense,3267,3249,8.28,484,2.2,35.71,48162.76,100.0,0.0,MATO RICO,118.8057863958141
Nova Olímpia,383,56,1162.1221671018277,0.0,5100.65,77.80678851174935,42.49086161879895,327,14.621409921671018,Nova Olímpia,paranaense,5833,5982,42.78,1356,1.8,15.63,22756.95,100.0,33.6,NOVA OLIMPIA,64.02540956201939
Marquinho,381,51,841.1518372703412,0.0,4723.8,82.41469816272966,35.963254593175854,330,13.385826771653544,Marquinho,paranaense,4504,4491,8.94,587,2.1,34.48,29896.39,98.57,0.0,MARQUINHO,84.83633934535737
Nova Santa Rosa,374,39,713.5738770053476,0.0,1546.7219999999977,83.9572192513369,39.56149732620321,335,10.427807486631016,Nova Santa Rosa,paranaense,8322,8581,40.66,2561,2.2,,58192.18,98.95,0.0,NOVA SANTA ROSA,43.58466379209882
