city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key
Quatro Pontes,paranaense,4480,4672,39.16,1502,2.5,,68554.09,100.0,0.0,QUATRO PONTES
Quedas do Iguaçu,paranaense,30738,31423,37.42,7201,2.0,15.45,62721.88,98.28,191.1,QUEDAS DO IGUACU
Querência do Norte,paranaense,10685,10625,11.68,1523,2.4,8.7,32030.3,96.96,37.4,QUERENCIA DO NORTE
Quinta do Sol,paranaense,5001,5052,15.33,729,2.2,14.93,62978.03,100.0,0.0,QUINTA DO SOL
Quitandinha,paranaense,18398,18882,41.16,2484,2.4,9.43,32311.04,98.56,95.6,QUITANDINHA
Ramilândia,paranaense,4221,4279,17.8,486,2.5,,29989.37,97.19,0.0,RAMILANDIA
Rancho Alegre,paranaense,3512,3472,20.95,547,2.1,,56141.77,99.41,0.0,RANCHO ALEGRE
Rancho Alegre D'Oeste,paranaense,2618,2623,10.85,477,2.6,,90008.46,100.0,0.0,RANCHO ALEGRE D'OESTE
Realeza,paranaense,19247,20097,54.46,6477,2.1,8.03,49825.25,98.02,0.0,REALEZA
Rebouças,paranaense,14514,14825,30.12,2756,1.9,9.76,43802.69,99.27,6.8,REBOUCAS
Renascença,paranaense,6845,6945,16.1,1898,2.3,,67212.82,99.76,0.0,RENASCENCA
Reserva,paranaense,24573,24878,15.02,4623,2.0,8.2,31106.12,98.0,0.0,RESERVA
Reserva do Iguaçu,paranaense,6553,6493,7.86,1117,2.1,10.53,39346.76,98.09,0.0,RESERVA DO IGUACU
Ribeirão Claro,paranaense,12364,12856,19.65,3251,2.2,7.46,49315.87,100.0,156.6,RIBEIRAO CLARO
Ribeirão do Pinhal,paranaense,13060,13158,34.85,2145,2.1,6.54,37360.89,100.0,22.8,RIBEIRAO DO PINHAL
Rio Azul,paranaense,14025,14174,23.41,2747,2.4,,71086.79,100.0,0.0,RIO AZUL
Rio Bom,paranaense,3197,3214,17.98,783,1.3,32.26,37164.63,99.36,0.0,RIO BOM
Rio Bonito do Iguaçu,paranaense,13929,14297,20.44,1573,2.1,10.36,36921.86,99.56,0.0,RIO BONITO DO IGUACU
